"","grid_no","LATITUDE","LONGITUDE","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"11",102154,49.96899,25.69868,1.29989438775894,3.92830746482616,0.605820217757588,3.54554497450681,1.56530870333795,0.500687974035009,4.63242963532484,1.2805469448656,1.56429071970712,4.27474572207048,8.28044761864961,4.14602773541352,2.84776650798353,1.46996257535927,3.12175745840535
"12",101180,48.17798,34.24147,8.21976103727112,11.7939475155445,4.77140231036977,15.0485053723982,7.30017344178629,8.96319370460518,8.73595177238093,10.8095045729823,8.10167185608143,7.98055527242542,4.0364615608786,9.24369544205863,11.145890885446,5.51778457665262,9.32518104899203
"13",103154,50.18782,25.77233,1.33405287091487,6.50875462014296,1.39251501002593,4.58169647167246,1.12319505271615,3.23494028678644,8.63331042659323,2.47044772389593,2.1558974602931,2.13644066066341,4.19411525494981,1.38705327459507,8.88574219270143,1.81604499507808,0.41442587922011
"14",103179,48.6729,34.13222,7.20270213419133,6.31888196136789,14.0702480132179,11.066096861162,15.142771836266,4.42648331937168,12.9738373532317,11.0783650881461,3.41764446899967,5.12437045861133,4.48158506614232,13.0714392021305,10.7027267843299,9.32231495655787,7.94731008238043
"15",103180,48.59969,34.45635,5.98993936674282,10.2589282493737,12.9927034095927,6.72760877680118,4.48965725296631,4.33372272517307,6.98105874662692,10.7030174859964,10.071569792842,9.53281709881991,5.91157351026012,10.1813961627829,12.390933971378,4.60408038099998,6.43009424621021
"16",103185,48.21967,36.06407,7.88401555385756,11.3679775103734,10.5796107560015,7.48535060622277,7.75413178222537,10.3378682916028,5.38977298244143,5.67034101550115,6.52740858654654,9.40295190896709,11.0932948692606,4.64206475590247,7.15713405229644,7.69771106897621,7.20089765193494
"17",106183,49.0024,35.76506,8.66684290242538,5.8985253234736,7.60013199560236,3.91511716535783,3.35027228927434,15.4040326813411,2.33706860580982,5.65100567330199,8.59977472209006,12.0382735856512,7.94219659352802,9.85710509764203,6.10629746759476,9.17814913675997,3.46387067882165
"18",104187,48.2692,36.81802,8.71898849619774,3.42923244708012,7.82247337475006,12.1817876743147,11.7907141939225,8.76798849624768,12.2884042871748,19.9572960167193,9.60134684719931,10.1972228183606,4.65265627822551,8.28234119997921,11.3900506401382,7.64809368922081,15.032357173659
"19",105180,49.02073,34.67589,3.35345280027675,4.3060643961024,8.54114559188872,11.9701566222975,13.1416660726031,6.05508859699184,5.17851524366005,7.2786568675689,7.34439714217213,7.67856801257348,2.78436323358576,12.4737896565895,4.55422604457167,9.62499269069554,7.18634719444774
"20",105183,48.79327,35.65002,7.93862155459672,12.9099123486618,6.02578742331745,11.8006544880199,10.67982477201,7.98897189867755,3.15085307101393,2.96177831874669,8.8740066262999,6.36795888864791,8.96753029496086,4.26551579030639,7.32304709214965,9.19977723359905,9.36502477380454
"21",103160,49.88092,27.82054,2.1863016748903,4.40385764304837,4.17210592754565,2.8837939003399,4.69923980676448,3.0644399648037,4.88341435568468,4.9423127839021,8.24978062902908,2.19984773479107,3.43114592397981,4.64724781571228,3.37371680484399,3.4589006829749,1.48372503482923
"22",100162,49.12024,28.24536,8.98882759312162,3.83197343222203,2.11599896980466,4.78349402629989,1.33242881384166,3.17971167479892,3.38780541766274,0.843893615951399,2.15484672332251,2.52356025334037,4.88195758069397,1.73562211009026,2.80818798813001,7.10701286641478,3.67081326923176
