"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"30",113167,2.81343821186643,2.15119409046752,1.31493968899519,4.1201776793586,1.9140581878111,8.11431600314792,2.69091493428293,6.95766700639306,1.88356439579378,5.07532446952965,3.91337233565039,4.63530198764513,3.7603424291812
"31",114167,2.91835124499339,2.23668087186902,1.21832555703497,3.48873310244994,1.80666086239348,7.91762336967534,2.83361054337557,6.3096481921686,2.21461327347365,5.5168092790884,4.49207508631152,5.24512209671735,3.84709385809725
"32",115170,1.72030089658115,2.00016745519035,1.90298798096717,4.7682908917025,1.62580801254356,11.1915921387991,3.52474536592341,4.36165173873485,2.52721383603532,4.53576702316238,2.95736019205587,4.30921528129678,4.03711154467135
"33",116168,1.9446935099421,1.94251489351187,1.36078434983991,4.36856249992393,1.57096410070716,9.53657004630831,4.00417352578243,5.4659040437507,1.74502918397269,4.9063085026676,3.20813012462656,4.59007623347354,3.46128399759179
"34",116171,1.34620193858289,1.91340302284985,1.65723261539448,4.40515502863996,1.63625160252621,11.3502030031556,3.23640869939579,3.57098924417596,2.32917307890666,3.92618619135513,3.04827601844402,3.69744527327755,4.01703701792996
"35",108185,4.03942406828867,4.42300618501413,5.34350932202566,4.29466313007512,5.80305899501164,7.77818135315049,6.58927416090606,7.77729330138456,4.47030982684857,4.65548604505767,4.77197649923379,6.62102616651442,8.0338025798424
"36",108188,3.85843889906433,3.81641600824927,6.0096304764493,4.03379501562623,6.27206167970636,7.9683987161576,6.99204085832996,7.15515140049445,3.18747678894635,4.36802274525146,5.01029089943918,5.88862997286714,8.47910783226402
"37",109188,3.82217182483569,3.93159603376708,6.38461941760487,4.1935256720193,7.01652639003889,9.16340251817907,7.58341367883054,7.13062978664535,3.82928192612934,4.44814006299395,5.10921266146511,7.06939859711392,8.23457563267217
"38",110181,3.68414630257354,4.73632462606432,4.54729819047507,3.30888871084909,6.0757840286231,11.0252552675486,8.05958129442,8.35058737676098,4.15461390133208,5.44182638472584,4.05998833305576,6.23751983452297,5.00851771884611
"39",111185,3.55159157276846,4.68728544684827,4.43328158660817,4.61872497378759,7.33298064320989,10.6881564637928,7.38327510077072,6.4816871580421,4.3263166964096,6.55157739619237,3.533416012788,7.05616177547668,5.52840467327917
"40",111186,2.96625546300081,4.37347086936823,3.86055350044977,4.88228147929549,6.70409795755117,9.48846277342303,6.01583879235556,5.16388485281383,3.21063909481333,5.34877295267324,3.41316519028698,7.16219967981366,5.35543944309225
"41",112183,3.67995435453395,4.67663140485879,3.68141130372662,4.37069724687014,4.70165130296927,8.88593273893608,6.31102602679235,7.81227365659805,2.69926053551063,6.22600725472235,3.43718894488985,7.33677705310257,4.06644714342018
"42",113185,2.80387960353752,4.22447088066589,3.42522885218172,5.03366450335164,5.94195381460356,9.90462538088655,5.3577877890796,5.19427070649088,2.92743709469876,5.92897684877083,2.98902683334783,7.29407709534898,3.97324779771521
"43",113187,3.47362211688667,4.47760366470894,3.63339190380369,5.59319740056807,6.94082533101257,10.4541326301117,6.19133326704616,5.17821193444354,3.51865131346286,5.37383434712779,3.44463789756456,7.80749420414636,5.3902561881968
"44",113179,3.20237264448107,3.08495535695423,3.06073055131973,4.35582431129454,3.91770789434747,9.7585840363284,2.83791341985122,5.94839291746856,2.16970214842008,3.87817175177747,4.17966637265401,5.09110687178169,4.06736997910268
"45",115173,2.10808009463415,1.75496459209966,1.5102315490118,4.11745277064721,1.86795728308585,12.6071261303568,3.6759051639687,3.63811309804457,2.49805714110025,4.07620046930545,3.73002748220578,4.41319440512926,4.31163977535409
"46",115175,2.15992032463584,1.81339276566473,1.77686809942876,3.90970778279783,2.19301536500683,13.0820850788865,3.63481520462191,4.39502309920066,2.27225369776197,3.81267727681409,3.91536002453402,4.86858411235487,4.05135615435471
"47",103167,3.72372433528434,2.47400450714006,4.20249915786249,2.916454954099,3.12633686837976,4.63215860176745,4.16494005336154,5.11715943436252,1.90800516668717,5.31212981486842,4.69450803448293,4.85827205733754,4.81129184238352
"48",104169,3.82579515733164,3.33324658161342,4.69121402201755,3.5793192085333,3.63081591992251,6.94202995041197,4.10268136293417,6.5063388382266,2.52596890384966,4.75985524197024,4.50902353794855,6.55094623369441,5.4846342264038
"49",105169,3.82060058888101,3.33324658161342,4.69121402201755,3.5793192085333,3.63081591992251,6.94202995041197,4.10268136293417,6.5063388382266,2.52596890384966,4.75985524197024,4.50902353794855,6.55094623369441,5.4846342264038
"50",106167,3.66686383692142,1.52764647227748,3.13660653312095,3.90430642713334,3.1780767908459,6.96687955190676,3.47039839541614,8.64488113554067,2.09174472066737,5.70274530418862,5.36046347854988,6.91219510002615,5.92393443637861
"51",106171,4.4527836325965,2.85843376948888,4.43249876060369,2.83053703256954,3.1055100563825,8.3822340725489,4.91603331568229,7.71892413339216,3.45782624459186,5.06850141192509,3.70041454040181,5.7075558740051,4.96751265753126
"52",107168,3.65913980547252,2.57989460868944,3.98298488527513,3.2869662566613,3.73162956614797,9.81616354751361,4.44257533654329,9.55015802892293,4.33938034386928,5.2941430614476,5.48284547107483,7.40666912352757,5.76193510986144
"53",108166,3.4698886471029,1.41975805915361,2.72559992362875,4.27491250564581,3.83224830675393,9.62834984840882,3.69480837413006,7.71467536242644,3.25727099200398,6.46262410933256,5.56593943633182,7.28680170804249,5.61153271809005
"54",109164,3.07940400871671,2.29838759470295,1.62379338696655,4.09893083458448,2.10871205409363,7.71808870169595,3.11318012721179,5.43610922205903,1.73043050210883,4.57342218809949,5.1985989629978,4.96755039261086,4.30710977508204
"55",102176,5.01349621316026,3.7996982963666,6.03289798517983,3.10107527688866,5.03263700273311,7.19467950490251,5.94891734814528,5.87740058006611,4.24532596548541,4.85449513281392,4.76016863996495,7.03446566991746,6.38865593655442
"56",98175,7.11389140364257,4.08027901152995,9.46627555854923,4.10109104997228,6.43753122271111,6.1493831190621,8.27883057141419,9.82886600434266,4.61766662072603,5.47505970094951,6.63192910849069,8.70970600109458,7.15957483715832
"57",99170,5.01948920229256,4.20765361521838,8.73734357304091,3.16432312373596,4.65537064656792,7.57973671523929,5.84560910244137,7.66707190169974,4.08576578752304,5.40307556179835,5.01264925490872,7.36337072172682,6.48177000146641
"58",99176,6.52147750969174,3.36819134294903,7.28195067832662,4.01579223661479,6.78982622880638,7.51591445260236,7.73376717433237,9.26574249713727,3.70936195663714,5.74715120237304,6.46499513072069,8.05588285173775,7.58749095538419
"59",93148,5.23543118501604,5.51854403979585,7.78922506577158,2.02791076172502,3.89403882405047,6.24637917952386,2.66280908918606,7.43489220543706,6.33327101021483,4.46001943763707,8.06278756172384,3.26680084882468,5.36237852145722
"60",94147,3.36769188857489,2.37046505641993,4.45067099753308,1.0900164351724,2.56704389947876,5.11202142868839,1.35154042731305,5.80464767521041,5.13250399517382,2.94965560561307,7.16624298974003,2.07060848183425,4.35498247187952
"61",95147,1.33649536133348,0.829570151166839,2.51233763441462,0.514079218527617,0.493058214636446,1.6398945810428,1.0060930846053,1.85923740264449,1.51739829150693,0.612336759603112,4.89088922839047,0.489028716085821,3.31110866054986
"62",95150,0.00548106803902585,0.035034142133947,0.342616499265411,0.191510097450995,0.0241911914472666,0.215946290380043,0.182281381310773,0.395622134324975,0.232761146270558,0.119208374227754,0.586225636351274,0.0851374094409204,0.912098633657303
"63",92175,4.93887994238307,5.03016652412468,7.23640970515812,4.61081578161694,8.52091325705468,8.26436480874931,7.71306245276967,8.00958544903047,6.68796869780878,6.56572672886205,6.56758491248672,8.10336836064134,6.70246341085232
"64",93172,6.18824949159737,4.38680841195655,8.90055902336225,4.0959870311913,9.99751484789673,5.73407442759843,7.24105104279255,9.88717279237598,5.88146793595203,6.52912919535133,7.23894798919102,7.89813987247001,5.92497972095412
"65",94175,5.73734779544511,7.19067852943332,7.91909395167149,7.84396265090999,8.98122273263698,5.67677436289593,8.01302559546357,10.7547968850307,8.62050891246716,7.02069591296444,7.29605466232368,9.04953996599019,6.70933376438807
"66",94178,3.97940003369902,7.38903514448199,8.29013206937354,5.87944734470333,8.67093056207922,4.84488119606255,8.18144159683194,9.39484562099816,7.78386186738982,5.43509643670129,6.3579707264139,10.102093750539,8.22850958222093
"67",95172,5.5718104762315,4.20125924736207,8.0294480264429,2.97694975753098,7.01510435283726,7.34848178647569,6.17298627954188,9.12391129202052,5.38285910315425,5.88592945302041,7.54834395695327,7.78382979544288,3.42887632026082
"68",95175,5.6610489679966,5.08286677592553,7.6689908788738,5.20507876426943,6.73197829588675,6.4572607812299,7.50620458165048,10.1333846221636,6.30778942909925,5.92591151332855,7.32286409219465,8.36736321088706,5.92147898556283
"69",96172,5.71345068784537,4.83724952266942,7.72908169011082,3.59645870341267,7.55760591644365,7.75960560280721,5.87590907660191,9.37966625584246,5.75037255302856,5.47165099814414,7.91606913059655,7.52458118181692,3.76666659682792
"70",96173,5.20019343778083,3.94519320357037,8.74095643520406,2.85459481189454,6.60631713506285,7.20372683217341,6.46579470003736,8.81845180356286,5.74132425364238,5.48504378419383,7.7313591303084,7.4375469651705,3.53117582257002
"71",96174,5.56923960104379,4.50234104947287,8.2089533774032,4.87986474153707,6.17586923543692,6.43272320919067,6.72187498349776,10.2222700641126,5.15942271086835,5.39918767681467,7.08280857077516,7.4993583422753,5.18884862171052
"72",106172,4.54534688788925,2.60133351415753,3.95950560818393,3.65671179353,3.25345115730336,9.64518974299359,4.34344814107555,7.46002706480724,3.77542633352813,4.95799060847303,4.27482259883673,5.90241082121773,4.00692936167577
